name,ISO,year
USA,USA,1997
Canada,CAN,2010
Anguilla,AIA,2011
Antigua and Barbuda,ATG,2011
Argentina,ARG,2011
Aruba,ABW,2011
Bahamas,BHS,2011
Barbados,BRB,2011
Belize,BLZ,2011
Bolivia,BOL,2011
"Bonaire, Sint Eustatius and Saba",BES,2011
Bouvet Island,BVT,2011
Brazil,BRA,2011
Cayman Islands,CYM,2011
Chile,CHL,2011
Colombia,COL,2011
Costa Rica,CRI,2011
Curaçao,CUW,2011
Dominica,DMA,2011
Dominican Republic,DOM,2011
Ecuador,ECU,2011
El Salvador,SLV,2011
Falkland Islands (Malvinas),FLK,2011
French Guiana,GUF,2011
Grenada,GRD,2011
Guadeloupe,GLP,2011
Guatemala,GTM,2011
Guyana,GUY,2011
Haiti,HTI,2011
Honduras,HND,2011
Jamaica,JAM,2011
Martinique,MTQ,2011
Mexico,MEX,2011
Montserrat,MSR,2011
Nicaragua,NIC,2011
Panama,PAN,2011
Paraguay,PRY,2011
Peru,PER,2011
Puerto Rico,PRI,2011
Saint Barthélemy,BLM,2011
Saint Kitts and Nevis,KNA,2011
Saint Lucia,LCA,2011
Saint Martin (French part),MAF,2011
Saint Vincent and the Grenadines,VCT,2011
Sint Maarten (Dutch part),SXM,2011
South Georgia and the South Sandwich Islands,SGS,2011
Suriname,SUR,2011
Trinidad and Tobago,TTO,2011
Turks and Caicos Islands,TCA,2011
Uruguay,URY,2011
Venezuela,VEN,2011
Virgin Islands (British),VGB,2011
Virgin Islands (U.S.),VIR,2011
Denmark,DNK,2012
Finland,FIN,2012
Ireland,IRL,2012
Norway,NOR,2012
Sweden,SWE,2012
United Kingdom of Great Britain and Northern Ireland,GBR,2012
Netherlands,NLD,2013
Austria,AUT,2014
Belgium,BEL,2014
France,FRA,2014
Germany,DEU,2014
India,IND,2014
Luxembourg,LUX,2014
Switzerland,CHE,2014
Australia,AUS,2015
Cuba,CUB,2015
Italy,ITA,2015
Japan,JPN,2015
New Zealand,NZL,2015
Portugal,PRT,2015
Spain,ESP,2015
Afghanistan,AFG,2016
Åland Islands,ALA,2016
Albania,ALB,2016
Algeria,DZA,2016
American Samoa,ASM,2016
Andorra,AND,2016
Angola,AGO,2016
Antarctica,ATA,2016
Armenia,ARM,2016
Azerbaijan,AZE,2016
Bahrain,BHR,2016
Bangladesh,BGD,2016
Belarus,BLR,2016
Benin,BEN,2016
Bermuda,BMU,2016
Bhutan,BTN,2016
Bosnia and Herzegovina,BIH,2016
Botswana,BWA,2016
British Indian Ocean Territory,IOT,2016
Brunei Darussalam,BRN,2016
Bulgaria,BGR,2016
Burkina Faso,BFA,2016
Burundi,BDI,2016
Cabo Verde,CPV,2016
Cambodia,KHM,2016
Cameroon,CMR,2016
Central African Republic,CAF,2016
Chad,TCD,2016
Christmas Island,CXR,2016
Cocos (Keeling) Islands,CCK,2016
Comoros,COM,2016
Republic of the Congo,COG,2016
Democratic Republic of the Congo,COD,2016
Cook Islands,COK,2016
Côte d'Ivoire,CIV,2016
Croatia,HRV,2016
Cyprus,CYP,2016
Czechia,CZE,2016
Djibouti,DJI,2016
Egypt,EGY,2016
Equatorial Guinea,GNQ,2016
Eritrea,ERI,2016
Estonia,EST,2016
Eswatini,SWZ,2016
Ethiopia,ETH,2016
Faroe Islands,FRO,2016
Fiji,FJI,2016
French Polynesia,PYF,2016
French Southern Territories,ATF,2016
Gabon,GAB,2016
Gambia,GMB,2016
Georgia,GEO,2016
Ghana,GHA,2016
Gibraltar,GIB,2016
Greece,GRC,2016
Greenland,GRL,2016
Guam,GUM,2016
Guernsey,GGY,2016
Guinea,GIN,2016
Guinea-Bissau,GNB,2016
Heard Island and McDonald Islands,HMD,2016
Holy See,VAT,2016
Hong Kong,HKG,2016
Hungary,HUN,2016
Iceland,ISL,2016
Indonesia,IDN,2016
Iran (Islamic Republic of),IRN,2016
Iraq,IRQ,2016
Isle of Man,IMN,2016
Israel,ISR,2016
Jersey,JEY,2016
Jordan,JOR,2016
Kazakhstan,KAZ,2016
Kenya,KEN,2016
Kiribati,KIR,2016
"Korea, Republic of",KOR,2016
Kuwait,KWT,2016
Kyrgyzstan,KGZ,2016
Lao People's Democratic Republic,LAO,2016
Latvia,LVA,2016
Lebanon,LBN,2016
Lesotho,LSO,2016
Liberia,LBR,2016
Libya,LBY,2016
Liechtenstein,LIE,2016
Lithuania,LTU,2016
Macao,MAC,2016
Madagascar,MDG,2016
Malawi,MWI,2016
Malaysia,MYS,2016
Maldives,MDV,2016
Mali,MLI,2016
Malta,MLT,2016
Marshall Islands,MHL,2016
Mauritania,MRT,2016
Mauritius,MUS,2016
Mayotte,MYT,2016
Micronesia (Federated States of),FSM,2016
"Moldova, Republic of",MDA,2016
Monaco,MCO,2016
Mongolia,MNG,2016
Montenegro,MNE,2016
Morocco,MAR,2016
Mozambique,MOZ,2016
Myanmar,MMR,2016
Namibia,NAM,2016
Nauru,NRU,2016
Nepal,NPL,2016
New Caledonia,NCL,2016
Niger,NER,2016
Nigeria,NGA,2016
Niue,NIU,2016
Norfolk Island,NFK,2016
North Macedonia,MKD,2016
Northern Mariana Islands,MNP,2016
Oman,OMN,2016
Pakistan,PAK,2016
Palau,PLW,2016
"Palestine, State of",PSE,2016
Papua New Guinea,PNG,2016
Philippines,PHL,2016
Pitcairn,PCN,2016
Poland,POL,2016
Qatar,QAT,2016
Réunion,REU,2016
Romania,ROU,2016
Rwanda,RWA,2016
"Saint Helena, Ascension and Tristan da Cunha",SHN,2016
Saint Pierre and Miquelon,SPM,2016
Samoa,WSM,2016
San Marino,SMR,2016
Sao Tome and Principe,STP,2016
Saudi Arabia,SAU,2016
Senegal,SEN,2016
Serbia,SRB,2016
Seychelles,SYC,2016
Sierra Leone,SLE,2016
Singapore,SGP,2016
Slovakia,SVK,2016
Slovenia,SVN,2016
Solomon Islands,SLB,2016
Somalia,SOM,2016
South Africa,ZAF,2016
South Sudan,SSD,2016
Sri Lanka,LKA,2016
Sudan,SDN,2016
Svalbard and Jan Mayen,SJM,2016
"Taiwan, Province of China",TWN,2016
Tajikistan,TJK,2016
"Tanzania, United Republic of",TZA,2016
Thailand,THA,2016
Timor-Leste,TLS,2016
Togo,TGO,2016
Tokelau,TKL,2016
Tonga,TON,2016
Tunisia,TUN,2016
Turkey,TUR,2016
Turkmenistan,TKM,2016
Tuvalu,TUV,2016
Uganda,UGA,2016
Ukraine,UKR,2016
United Arab Emirates,ARE,2016
United States Minor Outlying Islands,UMI,2016
Uzbekistan,UZB,2016
Vanuatu,VUT,2016
Viet Nam,VNM,2016
Wallis and Futuna,WLF,2016
Western Sahara,ESH,2016
Yemen,YEM,2016
Zambia,ZMB,2016
Zimbabwe,ZWE,2016
